,FlightNum,Qty_Cancelled,Qty,CancelledRatio
707,4464,97,1928,5.03
708,7790,19,378,5.03
709,7250,22,437,5.03
710,4099,133,2646,5.03
711,5616,11,219,5.02
712,4587,141,2807,5.02
713,5565,29,578,5.02
714,4398,158,3145,5.02
715,5314,41,816,5.02
716,6127,99,1972,5.02
717,4425,124,2474,5.01
718,5267,67,1338,5.01
719,6875,71,1418,5.01
720,7765,26,519,5.01
721,4974,22,439,5.01
722,5983,3,60,5.0
723,7515,17,340,5.0
724,4939,100,2000,5.0
725,4405,108,2162,5.0
726,7616,5,100,5.0
727,4317,156,3125,4.99
728,5359,42,841,4.99
729,5800,59,1183,4.99
730,5056,68,1364,4.99
731,4963,86,1722,4.99
732,4639,102,2049,4.98
733,5171,45,904,4.98
734,4929,52,1045,4.98
735,6828,82,1650,4.97
736,3904,162,3260,4.97
737,4176,178,3579,4.97
738,5022,79,1591,4.97
739,7952,18,362,4.97
740,7635,24,483,4.97
741,7381,12,242,4.96
742,5737,26,524,4.96
743,6952,25,504,4.96
744,5919,6,121,4.96
745,5110,57,1150,4.96
746,7215,18,363,4.96
747,4854,131,2639,4.96
748,4834,80,1616,4.95
749,5287,36,728,4.95
750,7954,18,364,4.95
751,5356,33,668,4.94
752,7065,8,162,4.94
753,4085,104,2106,4.94
754,1365,133,2691,4.94
755,4909,76,1539,4.94
756,5193,35,708,4.94
757,7008,8,162,4.94
758,5317,33,670,4.93
759,4574,119,2416,4.93
760,7968,18,365,4.93
761,4685,40,811,4.93
762,7690,11,223,4.93
763,4874,129,2614,4.93
764,4561,137,2778,4.93
765,4960,69,1401,4.93
766,5115,24,487,4.93
767,4305,123,2501,4.92
768,6519,108,2196,4.92
769,4420,96,1952,4.92
770,4839,49,995,4.92
771,7188,6,122,4.92
772,4018,114,2323,4.91
773,4292,119,2425,4.91
774,4542,114,2322,4.91
775,4206,176,3587,4.91
776,5308,39,794,4.91
777,4133,170,3467,4.9
778,5303,43,878,4.9
779,4431,100,2044,4.89
780,4983,71,1453,4.89
781,6815,81,1657,4.89
782,4580,103,2108,4.89
783,5278,49,1004,4.88
784,6332,10,205,4.88
785,5126,65,1333,4.88
786,5229,26,533,4.88
787,4174,169,3464,4.88
788,4315,127,2604,4.88
789,4964,72,1475,4.88
790,7460,28,574,4.88
791,4407,96,1970,4.87
792,9576,32,657,4.87
793,6873,66,1355,4.87
794,6542,13,267,4.87
795,4612,130,2668,4.87
796,4624,91,1867,4.87
797,5433,34,698,4.87
798,4146,133,2734,4.86
799,5354,53,1091,4.86
800,5151,48,988,4.86
801,4077,84,1729,4.86
802,5239,44,906,4.86
803,4855,107,2204,4.85
804,5549,62,1278,4.85
805,5167,63,1298,4.85
806,5515,68,1404,4.84
807,4583,107,2212,4.84
808,5569,34,703,4.84
809,7816,21,434,4.84
810,5793,38,786,4.83
811,4537,125,2588,4.83
812,4325,180,3728,4.83
813,5243,49,1017,4.82
814,5023,80,1661,4.82
815,2276,187,3878,4.82
816,5309,33,685,4.82
817,5699,55,1141,4.82
818,4841,68,1415,4.81
819,4389,183,3805,4.81
820,6302,66,1373,4.81
821,4249,161,3357,4.8
822,5192,39,813,4.8
823,4900,66,1375,4.8
824,5060,57,1187,4.8
825,2621,110,2292,4.8
826,2768,170,3543,4.8
827,4603,67,1397,4.8
828,4446,155,3233,4.79
829,4364,114,2378,4.79
830,7737,19,397,4.79
831,3436,25,522,4.79
832,4533,116,2421,4.79
833,4740,85,1780,4.78
834,4185,171,3575,4.78
835,2396,137,2866,4.78
836,2315,165,3458,4.77
837,4344,110,2307,4.77
838,6529,53,1112,4.77
839,6194,115,2413,4.77
840,5091,63,1320,4.77
841,7300,16,336,4.76
842,7550,9,189,4.76
843,6155,68,1429,4.76
844,7704,15,315,4.76
845,6790,31,653,4.75
846,4650,71,1494,4.75
847,6437,27,568,4.75
848,4338,113,2380,4.75
849,6355,11,232,4.74
850,4816,64,1350,4.74
851,5238,34,717,4.74
852,2752,157,3314,4.74
853,4141,121,2553,4.74
854,5508,25,527,4.74
855,4478,72,1520,4.74
856,7574,10,211,4.74
857,3524,80,1692,4.73
858,7418,20,423,4.73
859,4131,173,3655,4.73
860,4521,76,1608,4.73
861,4471,102,2162,4.72
